,stress_x,stress_y
0,0.0,808.34
1,0.5,759.93
2,1.0,711.93
3,1.5,664.72
4,2.0,618.67
5,2.5,574.13
6,3.0,531.41
7,3.5,490.77
8,4.0,452.42
9,4.5,416.53
10,5.0,383.22
11,5.5,352.56
12,6.0,324.55
13,6.5,299.17
14,7.0,276.35
15,7.5,256.0
16,8.0,237.99
17,8.5,222.15
18,9.0,208.33
19,9.5,196.35
20,10.0,186.04
21,10.5,177.2
22,11.0,169.67
23,11.5,163.29
24,12.0,157.89
25,12.5,153.34
26,13.0,149.5
27,13.5,146.26
28,14.0,143.52
29,14.5,141.18
30,15.0,139.18
31,15.5,137.44
32,16.0,135.92
33,16.5,134.56
34,17.0,133.34
35,17.5,132.22
36,18.0,131.19
37,18.5,130.21
38,19.0,129.27
39,19.5,128.37
40,20.0,127.5
41,20.5,126.65
42,21.0,125.81
43,21.5,124.98
44,22.0,124.15
45,22.5,123.34
46,23.0,122.52
47,23.5,121.71
48,24.0,120.9
49,24.5,120.1
50,25.0,119.29
51,25.5,118.49
52,26.0,117.69
53,26.5,116.88
54,27.0,116.08
55,27.5,115.28
56,28.0,114.48
57,28.5,113.69
58,29.0,112.89
59,29.5,112.09
60,30.0,111.3
61,30.5,110.5
62,31.0,109.71
63,31.5,108.91
64,32.0,108.12
65,32.5,107.33
66,33.0,106.54
67,33.5,105.75
68,34.0,104.96
69,34.5,104.17
70,35.0,103.38
71,35.5,102.6
72,36.0,101.81
73,36.5,101.03
74,37.0,100.24
75,37.5,99.46
76,38.0,98.68
77,38.5,97.9
78,39.0,97.12
79,39.5,96.34
80,40.0,95.56
81,40.5,94.79
82,41.0,94.01
83,41.5,93.24
84,42.0,92.46
85,42.5,91.69
86,43.0,90.92
87,43.5,90.15
88,44.0,89.38
89,44.5,88.61
90,45.0,87.85
91,45.5,87.08
92,46.0,86.32
93,46.5,85.56
94,47.0,84.79
95,47.5,84.03
96,48.0,83.28
97,48.5,82.52
98,49.0,81.76
99,49.5,81.01
100,50.0,80.25
101,50.5,79.5
102,51.0,78.75
103,51.5,78.0
104,52.0,77.25
105,52.5,76.5
106,53.0,75.75
107,53.5,75.01
108,54.0,74.27
109,54.5,73.52
110,55.0,72.78
111,55.5,72.04
112,56.0,71.3
113,56.5,70.57
114,57.0,69.83
115,57.5,69.1
116,58.0,68.37
117,58.5,67.64
118,59.0,66.91
119,59.5,66.18
120,60.0,65.45
121,60.5,64.73
122,61.0,64.0
123,61.5,63.28
124,62.0,62.56
125,62.5,61.84
126,63.0,61.12
127,63.5,60.41
128,64.0,59.69
129,64.5,58.98
130,65.0,58.27
131,65.5,57.56
132,66.0,56.85
133,66.5,56.14
134,67.0,55.44
135,67.5,54.74
136,68.0,54.03
137,68.5,53.33
138,69.0,52.64
139,69.5,51.94
140,70.0,51.24
141,70.5,50.55
142,71.0,49.86
143,71.5,49.17
144,72.0,48.48
145,72.5,47.79
146,73.0,47.11
147,73.5,46.42
148,74.0,45.74
149,74.5,45.06
150,75.0,44.38
151,75.5,43.71
152,76.0,43.03
153,76.5,42.36
154,77.0,41.69
155,77.5,41.02
156,78.0,40.35
157,78.5,39.68
158,79.0,39.02
159,79.5,38.36
160,80.0,37.69
161,80.5,37.04
162,81.0,36.38
163,81.5,35.72
164,82.0,35.07
165,82.5,34.42
166,83.0,33.77
167,83.5,33.12
168,84.0,32.47
169,84.5,31.83
170,85.0,31.19
171,85.5,30.55
172,86.0,29.91
173,86.5,29.27
174,87.0,28.63
175,87.5,28.0
176,88.0,27.37
177,88.5,26.74
178,89.0,26.11
179,89.5,25.49
180,90.0,24.86
181,90.5,24.24
182,91.0,23.62
183,91.5,23.0
184,92.0,22.39
185,92.5,21.77
186,93.0,21.16
187,93.5,20.55
188,94.0,19.94
189,94.5,19.33
190,95.0,18.73
191,95.5,18.13
192,96.0,17.53
193,96.5,16.93
194,97.0,16.33
195,97.5,15.74
196,98.0,15.14
197,98.5,14.55
198,99.0,13.96
199,99.5,13.38
200,100.0,12.79
201,100.5,12.21
202,101.0,11.63
203,101.5,11.05
204,102.0,10.47
205,102.5,9.9
206,103.0,9.32
207,103.5,8.75
208,104.0,8.19
209,104.5,7.62
210,105.0,7.05
211,105.5,6.49
212,106.0,5.93
213,106.5,5.37
214,107.0,4.81
215,107.5,4.26
216,108.0,3.71
217,108.5,3.16
218,109.0,2.61
219,109.5,2.06
220,110.0,1.52
221,110.5,0.97
222,111.0,0.43
223,111.5,-0.11
224,112.0,-0.64
225,112.5,-1.18
226,113.0,-1.71
227,113.5,-2.24
228,114.0,-2.77
229,114.5,-3.3
230,115.0,-3.82
231,115.5,-4.34
232,116.0,-4.86
233,116.5,-5.38
234,117.0,-5.9
235,117.5,-6.41
236,118.0,-6.92
237,118.5,-7.43
238,119.0,-7.94
239,119.5,-8.45
240,120.0,-8.95
241,120.5,-9.45
242,121.0,-9.95
243,121.5,-10.45
244,122.0,-10.94
245,122.5,-11.44
246,123.0,-11.93
247,123.5,-12.42
248,124.0,-12.91
249,124.5,-13.39
250,125.0,-13.88
251,125.5,-14.36
252,126.0,-14.84
253,126.5,-15.31
254,127.0,-15.79
255,127.5,-16.26
256,128.0,-16.73
257,128.5,-17.2
258,129.0,-17.67
259,129.5,-18.13
260,130.0,-18.6
261,130.5,-19.06
262,131.0,-19.52
263,131.5,-19.97
264,132.0,-20.43
265,132.5,-20.88
266,133.0,-21.33
267,133.5,-21.78
268,134.0,-22.23
269,134.5,-22.67
270,135.0,-23.11
271,135.5,-23.55
272,136.0,-23.99
273,136.5,-24.43
274,137.0,-24.86
275,137.5,-25.29
276,138.0,-25.72
277,138.5,-26.15
278,139.0,-26.58
279,139.5,-27.0
280,140.0,-27.43
281,140.5,-27.85
282,141.0,-28.26
283,141.5,-28.68
284,142.0,-29.1
285,142.5,-29.51
286,143.0,-29.92
287,143.5,-30.33
288,144.0,-30.73
289,144.5,-31.14
290,145.0,-31.54
291,145.5,-31.94
292,146.0,-32.34
293,146.5,-32.73
294,147.0,-33.13
295,147.5,-33.52
296,148.0,-33.91
297,148.5,-34.3
298,149.0,-34.69
299,149.5,-35.07
300,150.0,-35.45
301,150.5,-35.84
302,151.0,-36.21
303,151.5,-36.59
304,152.0,-36.97
305,152.5,-37.34
306,153.0,-37.71
307,153.5,-38.08
308,154.0,-38.45
309,154.5,-38.81
310,155.0,-39.18
311,155.5,-39.54
312,156.0,-39.9
313,156.5,-40.25
314,157.0,-40.61
315,157.5,-40.96
316,158.0,-41.32
317,158.5,-41.67
318,159.0,-42.01
319,159.5,-42.36
320,160.0,-42.71
321,160.5,-43.05
322,161.0,-43.39
323,161.5,-43.73
324,162.0,-44.06
325,162.5,-44.4
326,163.0,-44.73
327,163.5,-45.06
328,164.0,-45.39
329,164.5,-45.72
330,165.0,-46.05
331,165.5,-46.37
332,166.0,-46.7
333,166.5,-47.02
334,167.0,-47.33
335,167.5,-47.65
336,168.0,-47.97
337,168.5,-48.28
338,169.0,-48.59
339,169.5,-48.9
340,170.0,-49.21
341,170.5,-49.52
342,171.0,-49.82
343,171.5,-50.12
344,172.0,-50.42
345,172.5,-50.72
346,173.0,-51.02
347,173.5,-51.32
348,174.0,-51.61
349,174.5,-51.9
350,175.0,-52.19
351,175.5,-52.48
352,176.0,-52.77
353,176.5,-53.05
354,177.0,-53.34
355,177.5,-53.62
356,178.0,-53.9
357,178.5,-54.18
358,179.0,-54.45
359,179.5,-54.73
360,180.0,-55.0
361,180.5,-55.28
362,181.0,-55.55
363,181.5,-55.81
364,182.0,-56.08
365,182.5,-56.35
366,183.0,-56.61
367,183.5,-56.87
368,184.0,-57.13
369,184.5,-57.39
370,185.0,-57.65
371,185.5,-57.9
372,186.0,-58.16
373,186.5,-58.41
374,187.0,-58.66
375,187.5,-58.91
376,188.0,-59.16
377,188.5,-59.4
378,189.0,-59.65
379,189.5,-59.89
380,190.0,-60.13
381,190.5,-60.37
382,191.0,-60.61
383,191.5,-60.84
384,192.0,-61.08
385,192.5,-61.31
386,193.0,-61.55
387,193.5,-61.78
388,194.0,-62.0
389,194.5,-62.23
390,195.0,-62.46
391,195.5,-62.68
392,196.0,-62.91
393,196.5,-63.13
394,197.0,-63.35
395,197.5,-63.57
396,198.0,-63.78
397,198.5,-64.0
398,199.0,-64.21
399,199.5,-64.43
400,200.0,-64.64
401,200.5,-64.85
402,201.0,-65.06
403,201.5,-65.26
404,202.0,-65.47
405,202.5,-65.67
406,203.0,-65.87
407,203.5,-66.08
408,204.0,-66.28
409,204.5,-66.47
410,205.0,-66.67
411,205.5,-66.87
412,206.0,-67.06
413,206.5,-67.26
414,207.0,-67.45
415,207.5,-67.64
416,208.0,-67.83
417,208.5,-68.01
418,209.0,-68.2
419,209.5,-68.39
420,210.0,-68.57
421,210.5,-68.75
422,211.0,-68.93
423,211.5,-69.11
424,212.0,-69.29
425,212.5,-69.47
426,213.0,-69.65
427,213.5,-69.82
428,214.0,-69.99
429,214.5,-70.17
430,215.0,-70.34
431,215.5,-70.51
432,216.0,-70.68
433,216.5,-70.84
434,217.0,-71.01
435,217.5,-71.17
436,218.0,-71.34
437,218.5,-71.5
438,219.0,-71.66
439,219.5,-71.82
440,220.0,-71.98
441,220.5,-72.14
442,221.0,-72.29
443,221.5,-72.45
444,222.0,-72.6
445,222.5,-72.76
446,223.0,-72.91
447,223.5,-73.06
448,224.0,-73.21
449,224.5,-73.36
450,225.0,-73.51
451,225.5,-73.65
452,226.0,-73.8
453,226.5,-73.94
454,227.0,-74.08
455,227.5,-74.22
456,228.0,-74.37
457,228.5,-74.51
458,229.0,-74.64
459,229.5,-74.78
460,230.0,-74.92
461,230.5,-75.05
462,231.0,-75.19
463,231.5,-75.32
464,232.0,-75.45
465,232.5,-75.58
466,233.0,-75.71
467,233.5,-75.84
468,234.0,-75.97
469,234.5,-76.1
470,235.0,-76.22
471,235.5,-76.35
472,236.0,-76.47
473,236.5,-76.6
474,237.0,-76.72
475,237.5,-76.84
476,238.0,-76.96
477,238.5,-77.08
478,239.0,-77.2
479,239.5,-77.31
480,240.0,-77.43
481,240.5,-77.54
482,241.0,-77.66
483,241.5,-77.77
484,242.0,-77.88
485,242.5,-78.0
486,243.0,-78.11
487,243.5,-78.22
488,244.0,-78.33
489,244.5,-78.43
490,245.0,-78.54
491,245.5,-78.65
492,246.0,-78.75
493,246.5,-78.86
494,247.0,-78.96
495,247.5,-79.06
496,248.0,-79.16
497,248.5,-79.27
498,249.0,-79.37
499,249.5,-79.46
500,250.0,-79.56
501,250.5,-79.66
502,251.0,-79.76
503,251.5,-79.85
504,252.0,-79.95
505,252.5,-80.04
506,253.0,-80.14
507,253.5,-80.23
508,254.0,-80.32
509,254.5,-80.41
510,255.0,-80.5
511,255.5,-80.59
512,256.0,-80.68
513,256.5,-80.77
514,257.0,-80.86
515,257.5,-80.94
516,258.0,-81.03
517,258.5,-81.11
518,259.0,-81.2
519,259.5,-81.28
520,260.0,-81.36
521,260.5,-81.45
522,261.0,-81.53
523,261.5,-81.61
524,262.0,-81.69
525,262.5,-81.77
526,263.0,-81.85
527,263.5,-81.92
528,264.0,-82.0
529,264.5,-82.08
530,265.0,-82.15
531,265.5,-82.23
532,266.0,-82.3
533,266.5,-82.38
534,267.0,-82.45
535,267.5,-82.52
536,268.0,-82.59
537,268.5,-82.66
538,269.0,-82.73
539,269.5,-82.8
540,270.0,-82.87
541,270.5,-82.94
542,271.0,-83.01
543,271.5,-83.08
544,272.0,-83.14
545,272.5,-83.21
546,273.0,-83.27
547,273.5,-83.34
548,274.0,-83.4
549,274.5,-83.47
550,275.0,-83.53
551,275.5,-83.59
552,276.0,-83.65
553,276.5,-83.72
554,277.0,-83.78
555,277.5,-83.84
556,278.0,-83.9
557,278.5,-83.96
558,279.0,-84.01
559,279.5,-84.07
560,280.0,-84.13
561,280.5,-84.19
562,281.0,-84.24
563,281.5,-84.3
564,282.0,-84.35
565,282.5,-84.41
566,283.0,-84.46
567,283.5,-84.52
568,284.0,-84.57
569,284.5,-84.62
570,285.0,-84.67
571,285.5,-84.72
572,286.0,-84.78
573,286.5,-84.83
574,287.0,-84.88
575,287.5,-84.93
576,288.0,-84.98
577,288.5,-85.02
578,289.0,-85.07
579,289.5,-85.12
580,290.0,-85.17
581,290.5,-85.21
582,291.0,-85.26
583,291.5,-85.31
584,292.0,-85.35
585,292.5,-85.4
586,293.0,-85.44
587,293.5,-85.49
588,294.0,-85.53
589,294.5,-85.57
590,295.0,-85.61
591,295.5,-85.66
592,296.0,-85.7
593,296.5,-85.74
594,297.0,-85.78
595,297.5,-85.82
596,298.0,-85.86
597,298.5,-85.9
598,299.0,-85.94
599,299.5,-85.98
600,300.0,-86.02
